Origin_State_Abr,Origin_State_Fips,Origin_State_Nm,Dest_State_Abr,Dest_State_Fips,Dest_State_Nm
CA,6,California,CO,8,Colorado
CO,8,Colorado,CA,6,California
IA,19,Iowa,CO,8,Colorado
CO,8,Colorado,ND,38,North Dakota
ND,38,North Dakota,CO,8,Colorado
CO,8,Colorado,MO,29,Missouri
MO,29,Missouri,CO,8,Colorado
NC,37,North Carolina,CO,8,Colorado
GA,13,Georgia,CO,8,Colorado
CO,8,Colorado,SC,45,South Carolina
NV,32,Nevada,CO,8,Colorado
UT,49,Utah,CO,8,Colorado
CO,8,Colorado,AZ,4,Arizona
PA,42,Pennsylvania,CO,8,Colorado
CO,8,Colorado,GA,13,Georgia
CO,8,Colorado,TX,48,Texas
WY,56,Wyoming,CO,8,Colorado
CO,8,Colorado,KY,21,Kentucky
CO,8,Colorado,MI,26,Michigan
CO,8,Colorado,SD,46,South Dakota
CO,8,Colorado,NV,32,Nevada
CO,8,Colorado,UT,49,Utah
MI,26,Michigan,CO,8,Colorado
MN,27,Minnesota,CO,8,Colorado
OK,40,Oklahoma,CO,8,Colorado
CT,9,Connecticut,CO,8,Colorado
NE,31,Nebraska,CO,8,Colorado
CO,8,Colorado,OH,39,Ohio
CO,8,Colorado,MS,28,Mississippi
CO,8,Colorado,FL,12,Florida
CO,8,Colorado,VA,51,Virginia
CO,8,Colorado,CO,8,Colorado
TX,48,Texas,CO,8,Colorado
CO,8,Colorado,NY,36,New York
CO,8,Colorado,AR,5,Arkansas
CO,8,Colorado,IL,17,Illinois
OH,39,Ohio,CO,8,Colorado
AZ,4,Arizona,CO,8,Colorado
NY,36,New York,CO,8,Colorado
IL,17,Illinois,CO,8,Colorado
CO,8,Colorado,WI,55,Wisconsin
AL,1,Alabama,CO,8,Colorado
KY,21,Kentucky,CO,8,Colorado
WA,53,Washington,CO,8,Colorado
CO,8,Colorado,OK,40,Oklahoma
KS,20,Kansas,CO,8,Colorado
CO,8,Colorado,NE,31,Nebraska
CO,8,Colorado,KS,20,Kansas
CO,8,Colorado,NM,35,New Mexico
CO,8,Colorado,MA,25,Massachusetts
FL,12,Florida,CO,8,Colorado
CO,8,Colorado,MN,27,Minnesota
CO,8,Colorado,MT,30,Montana
VA,51,Virginia,CO,8,Colorado
CO,8,Colorado,IA,19,Iowa
CO,8,Colorado,WY,56,Wyoming
CO,8,Colorado,OR,41,Oregon
CO,8,Colorado,ID,16,Idaho
AR,5,Arkansas,CO,8,Colorado
OR,41,Oregon,CO,8,Colorado
MT,30,Montana,CO,8,Colorado
NM,35,New Mexico,CO,8,Colorado
MA,25,Massachusetts,CO,8,Colorado
CO,8,Colorado,PA,42,Pennsylvania
SC,45,South Carolina,CO,8,Colorado
LA,22,Louisiana,CO,8,Colorado
CO,8,Colorado,IN,18,Indiana
CO,8,Colorado,TN,47,Tennessee
IN,18,Indiana,CO,8,Colorado
TN,47,Tennessee,CO,8,Colorado
CO,8,Colorado,LA,22,Louisiana
CO,8,Colorado,WA,53,Washington
CO,8,Colorado,NC,37,North Carolina
NJ,34,New Jersey,CO,8,Colorado
ID,16,Idaho,CO,8,Colorado
CO,8,Colorado,MD,24,Maryland
CO,8,Colorado,AL,1,Alabama
WI,55,Wisconsin,CO,8,Colorado
SD,46,South Dakota,CO,8,Colorado
MD,24,Maryland,CO,8,Colorado
CO,8,Colorado,NJ,34,New Jersey
CO,8,Colorado,HI,15,Hawaii
HI,15,Hawaii,CO,8,Colorado
CO,8,Colorado,CT,9,Connecticut
AK,2,Alaska,CO,8,Colorado
CO,8,Colorado,AK,2,Alaska
